                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.6203,                0.29624,                 0.8462,                0.96607,                0.93072,                0.96137,                0.78935,                0.80035,                0.52561,                0.96874,               0.002179,               0.002179,               0.002179
                     81,                0.61462,                0.29415,                 0.8455,                 0.9638,                 0.9309,                0.96132,                0.78958,                0.79961,                0.52529,                0.96847,                0.00208,                0.00208,                0.00208
                     82,                0.60621,                0.29059,                0.84494,                0.96335,                0.93271,                0.96119,                0.78977,                0.79962,                0.52469,                0.96825,               0.001981,               0.001981,               0.001981
                     83,                0.60335,                 0.2893,                0.84275,                 0.9654,                0.93026,                0.96112,                 0.7898,                0.79899,                0.52456,                0.96793,               0.001882,               0.001882,               0.001882
                     84,                0.60013,                0.28678,                0.84273,                0.96686,                0.92929,                0.96223,                0.79112,                0.79857,                0.52491,                0.96702,               0.001783,               0.001783,               0.001783
                     85,                0.59449,                0.28422,                 0.8418,                0.96737,                0.92955,                0.96145,                0.79191,                0.79731,                0.52492,                0.96696,               0.001684,               0.001684,               0.001684
                     86,                0.58637,                0.28205,                0.83908,                0.96766,                0.92968,                0.96132,                0.79163,                0.79428,                0.52514,                0.96424,               0.001585,               0.001585,               0.001585
                     87,                0.58871,                0.28153,                0.83967,                0.96753,                0.93092,                0.96228,                 0.7925,                0.79335,                0.52427,                0.96325,               0.001486,               0.001486,               0.001486
                     88,                0.57861,                0.27761,                0.83806,                0.96739,                0.93092,                0.96235,                0.79311,                0.79289,                0.52498,                0.96304,               0.001387,               0.001387,               0.001387
                     89,                0.57484,                 0.2764,                0.83791,                0.96703,                0.93092,                0.96157,                  0.794,                0.79156,                0.52553,                0.96254,               0.001288,               0.001288,               0.001288
                     90,                0.55383,                 0.2611,                0.82519,                0.96678,                0.93128,                0.96164,                0.79483,                0.79017,                  0.525,                0.96195,               0.001189,               0.001189,               0.001189
                     91,                0.53577,                0.25459,                0.82215,                0.96713,                0.93159,                0.96174,                0.79543,                0.78807,                0.52495,                0.96112,                0.00109,                0.00109,                0.00109
                     92,                0.52565,                0.25066,                 0.8187,                0.96828,                 0.9311,                0.96179,                0.79571,                0.78687,                0.52456,                0.96057,               0.000991,               0.000991,               0.000991
                     93,                0.51953,                0.24745,                0.81857,                 0.9674,                 0.9311,                0.96186,                0.79689,                 0.7863,                0.52412,                0.96071,               0.000892,               0.000892,               0.000892
                     94,                0.50997,                 0.2444,                 0.8167,                0.96692,                 0.9311,                0.96198,                0.79711,                0.78462,                 0.5235,                0.96056,               0.000793,               0.000793,               0.000793
                     95,                0.50522,                0.24237,                0.81612,                0.96706,                0.93214,                 0.9621,                0.79744,                0.78394,                0.52312,                0.96041,               0.000694,               0.000694,               0.000694
                     96,                0.49782,                0.23926,                0.81367,                0.96731,                0.93206,                0.96232,                0.79796,                0.78318,                0.52275,                0.96012,               0.000595,               0.000595,               0.000595
                     97,                0.49063,                0.23636,                0.81164,                 0.9672,                0.93209,                0.96249,                0.79927,                0.78219,                 0.5232,                 0.9601,               0.000496,               0.000496,               0.000496
                     98,                0.48112,                0.23153,                0.81163,                0.96838,                0.93225,                0.96254,                0.80015,                0.78192,                0.52392,                0.95993,               0.000397,               0.000397,               0.000397
                     99,                0.47594,                0.22916,                0.80958,                0.96835,                0.93222,                0.96244,                0.80059,                0.77973,                0.52492,                0.95921,               0.000298,               0.000298,               0.000298
